Date,Open,High,Low,Close,Adj Close
29 Nov 2024,5.48,5.48,5.48,5.48,5.40
27 Nov 2024,5.47,5.47,5.47,5.47,5.36
26 Nov 2024,5.47,5.47,5.47,5.47,5.36
25 Nov 2024,5.47,5.47,5.47,5.47,5.36
22 Nov 2024,5.46,5.46,5.46,5.46,5.35
21 Nov 2024,5.46,5.46,5.46,5.46,5.35
20 Nov 2024,5.45,5.45,5.45,5.45,5.34
19 Nov 2024,5.46,5.46,5.46,5.46,5.35
18 Nov 2024,5.45,5.45,5.45,5.45,5.34
15 Nov 2024,5.45,5.45,5.45,5.45,5.34
14 Nov 2024,5.46,5.46,5.46,5.46,5.35
13 Nov 2024,5.46,5.46,5.46,5.46,5.35
12 Nov 2024,5.46,5.46,5.46,5.46,5.35
11 Nov 2024,5.47,5.47,5.47,5.47,5.36
8 Nov 2024,5.48,5.48,5.48,5.48,5.37
7 Nov 2024,5.47,5.47,5.47,5.47,5.36
6 Nov 2024,5.45,5.45,5.45,5.45,5.34
5 Nov 2024,5.45,5.45,5.45,5.45,5.34
4 Nov 2024,5.45,5.45,5.45,5.45,5.34
1 Nov 2024,5.45,5.45,5.45,5.45,5.34
31 Oct 2024,5.45,5.45,5.45,5.45,5.34
30 Oct 2024,5.46,5.46,5.46,5.46,5.32
29 Oct 2024,5.46,5.46,5.46,5.46,5.32
28 Oct 2024,5.46,5.46,5.46,5.46,5.32
25 Oct 2024,5.46,5.46,5.46,5.46,5.32
24 Oct 2024,5.46,5.46,5.46,5.46,5.32
23 Oct 2024,5.46,5.46,5.46,5.46,5.32
22 Oct 2024,5.47,5.47,5.47,5.47,5.33
21 Oct 2024,5.48,5.48,5.48,5.48,5.34
18 Oct 2024,5.49,5.49,5.49,5.49,5.35
17 Oct 2024,5.49,5.49,5.49,5.49,5.35
16 Oct 2024,5.49,5.49,5.49,5.49,5.35
15 Oct 2024,5.49,5.49,5.49,5.49,5.35
14 Oct 2024,5.48,5.48,5.48,5.48,5.34
11 Oct 2024,5.48,5.48,5.48,5.48,5.34
10 Oct 2024,5.48,5.48,5.48,5.48,5.34
9 Oct 2024,5.48,5.48,5.48,5.48,5.34
8 Oct 2024,5.48,5.48,5.48,5.48,5.34
7 Oct 2024,5.49,5.49,5.49,5.49,5.35
4 Oct 2024,5.51,5.51,5.51,5.51,5.37
3 Oct 2024,5.51,5.51,5.51,5.51,5.37
2 Oct 2024,5.52,5.52,5.52,5.52,5.38
1 Oct 2024,5.52,5.52,5.52,5.52,5.38
30 Sept 2024,5.52,5.52,5.52,5.52,5.38
27 Sept 2024,5.53,5.53,5.53,5.53,5.36
26 Sept 2024,5.52,5.52,5.52,5.52,5.35
25 Sept 2024,5.52,5.52,5.52,5.52,5.35
24 Sept 2024,5.53,5.53,5.53,5.53,5.36
23 Sept 2024,5.53,5.53,5.53,5.53,5.36
20 Sept 2024,5.53,5.53,5.53,5.53,5.36
19 Sept 2024,5.53,5.53,5.53,5.53,5.36
18 Sept 2024,5.52,5.52,5.52,5.52,5.35
17 Sept 2024,5.52,5.52,5.52,5.52,5.35
16 Sept 2024,5.51,5.51,5.51,5.51,5.34
13 Sept 2024,5.51,5.51,5.51,5.51,5.34
12 Sept 2024,5.50,5.50,5.50,5.50,5.33
11 Sept 2024,5.49,5.49,5.49,5.49,5.32
10 Sept 2024,5.49,5.49,5.49,5.49,5.32
9 Sept 2024,5.49,5.49,5.49,5.49,5.32
6 Sept 2024,5.49,5.49,5.49,5.49,5.32
5 Sept 2024,5.49,5.49,5.49,5.49,5.32
4 Sept 2024,5.48,5.48,5.48,5.48,5.31
3 Sept 2024,5.48,5.48,5.48,5.48,5.31
30 Aug 2024,5.48,5.48,5.48,5.48,5.31
29 Aug 2024,5.49,5.49,5.49,5.49,5.30
28 Aug 2024,5.48,5.48,5.48,5.48,5.29
27 Aug 2024,5.49,5.49,5.49,5.49,5.30
26 Aug 2024,5.49,5.49,5.49,5.49,5.30
23 Aug 2024,5.48,5.48,5.48,5.48,5.29
22 Aug 2024,5.47,5.47,5.47,5.47,5.28
21 Aug 2024,5.47,5.47,5.47,5.47,5.28
20 Aug 2024,5.47,5.47,5.47,5.47,5.28
19 Aug 2024,5.46,5.46,5.46,5.46,5.27
16 Aug 2024,5.45,5.45,5.45,5.45,5.26
15 Aug 2024,5.44,5.44,5.44,5.44,5.25
14 Aug 2024,5.44,5.44,5.44,5.44,5.25
13 Aug 2024,5.43,5.43,5.43,5.43,5.24
12 Aug 2024,5.42,5.42,5.42,5.42,5.23
9 Aug 2024,5.42,5.42,5.42,5.42,5.23
8 Aug 2024,5.42,5.42,5.42,5.42,5.23
7 Aug 2024,5.42,5.42,5.42,5.42,5.23
6 Aug 2024,5.41,5.41,5.41,5.41,5.22
5 Aug 2024,5.39,5.39,5.39,5.39,5.20
2 Aug 2024,5.42,5.42,5.42,5.42,5.23
1 Aug 2024,5.43,5.43,5.43,5.43,5.24
31 Jul 2024,5.43,5.43,5.43,5.43,5.24
30 Jul 2024,5.42,5.42,5.42,5.42,5.20
29 Jul 2024,5.42,5.42,5.42,5.42,5.20
26 Jul 2024,5.42,5.42,5.42,5.42,5.20
25 Jul 2024,5.41,5.41,5.41,5.41,5.19
24 Jul 2024,5.41,5.41,5.41,5.41,5.19
23 Jul 2024,5.42,5.42,5.42,5.42,5.20
22 Jul 2024,5.42,5.42,5.42,5.42,5.20
19 Jul 2024,5.41,5.41,5.41,5.41,5.19
18 Jul 2024,5.42,5.42,5.42,5.42,5.20
17 Jul 2024,5.42,5.42,5.42,5.42,5.20
16 Jul 2024,5.42,5.42,5.42,5.42,5.20
15 Jul 2024,5.41,5.41,5.41,5.41,5.19
12 Jul 2024,5.41,5.41,5.41,5.41,5.19
11 Jul 2024,5.40,5.40,5.40,5.40,5.18
10 Jul 2024,5.39,5.39,5.39,5.39,5.17
9 Jul 2024,5.38,5.38,5.38,5.38,5.16
8 Jul 2024,5.39,5.39,5.39,5.39,5.17
5 Jul 2024,5.38,5.38,5.38,5.38,5.16
3 Jul 2024,5.37,5.37,5.37,5.37,5.15
2 Jul 2024,5.36,5.36,5.36,5.36,5.15
1 Jul 2024,5.36,5.36,5.36,5.36,5.15
28 Jun 2024,5.37,5.37,5.37,5.37,5.15
27 Jun 2024,5.37,5.37,5.37,5.37,5.13
26 Jun 2024,5.37,5.37,5.37,5.37,5.13
25 Jun 2024,5.37,5.37,5.37,5.37,5.13
24 Jun 2024,5.37,5.37,5.37,5.37,5.13
21 Jun 2024,5.37,5.37,5.37,5.37,5.13
20 Jun 2024,5.37,5.37,5.37,5.37,5.13
18 Jun 2024,5.37,5.37,5.37,5.37,5.13
17 Jun 2024,5.36,5.36,5.36,5.36,5.12
14 Jun 2024,5.36,5.36,5.36,5.36,5.12
13 Jun 2024,5.38,5.38,5.38,5.38,5.14
12 Jun 2024,5.38,5.38,5.38,5.38,5.14
11 Jun 2024,5.36,5.36,5.36,5.36,5.12
10 Jun 2024,5.35,5.35,5.35,5.35,5.11
7 Jun 2024,5.36,5.36,5.36,5.36,5.12
6 Jun 2024,5.37,5.37,5.37,5.37,5.13
5 Jun 2024,5.37,5.37,5.37,5.37,5.13
4 Jun 2024,5.36,5.36,5.36,5.36,5.12
3 Jun 2024,5.35,5.35,5.35,5.35,5.11
31 May 2024,5.34,5.34,5.34,5.34,5.10
30 May 2024,5.33,5.33,5.33,5.33,5.06
29 May 2024,5.32,5.32,5.32,5.32,5.05
28 May 2024,5.34,5.34,5.34,5.34,5.07
24 May 2024,5.34,5.34,5.34,5.34,5.07
23 May 2024,5.35,5.35,5.35,5.35,5.08
22 May 2024,5.35,5.35,5.35,5.35,5.08
21 May 2024,5.36,5.36,5.36,5.36,5.09
20 May 2024,5.36,5.36,5.36,5.36,5.09
17 May 2024,5.36,5.36,5.36,5.36,5.09
16 May 2024,5.36,5.36,5.36,5.36,5.09
15 May 2024,5.37,5.37,5.37,5.37,5.10
14 May 2024,5.35,5.35,5.35,5.35,5.08
13 May 2024,5.35,5.35,5.35,5.35,5.08
10 May 2024,5.35,5.35,5.35,5.35,5.08
9 May 2024,5.35,5.35,5.35,5.35,5.08
8 May 2024,5.35,5.35,5.35,5.35,5.08
7 May 2024,5.36,5.36,5.36,5.36,5.09
6 May 2024,5.36,5.36,5.36,5.36,5.09
3 May 2024,5.35,5.35,5.35,5.35,5.08
2 May 2024,5.33,5.33,5.33,5.33,5.06
1 May 2024,5.31,5.31,5.31,5.31,5.04
30 Apr 2024,5.30,5.30,5.30,5.30,5.03
29 Apr 2024,5.31,5.31,5.31,5.31,5.02
26 Apr 2024,5.30,5.30,5.30,5.30,5.01
25 Apr 2024,5.29,5.29,5.29,5.29,5.00
24 Apr 2024,5.31,5.31,5.31,5.31,5.02
23 Apr 2024,5.31,5.31,5.31,5.31,5.02
22 Apr 2024,5.30,5.30,5.30,5.30,5.01
19 Apr 2024,5.28,5.28,5.28,5.28,4.99
18 Apr 2024,5.28,5.28,5.28,5.28,4.99
17 Apr 2024,5.28,5.28,5.28,5.28,4.99
16 Apr 2024,5.28,5.28,5.28,5.28,4.99
15 Apr 2024,5.30,5.30,5.30,5.30,5.01
12 Apr 2024,5.31,5.31,5.31,5.31,5.02
11 Apr 2024,5.32,5.32,5.32,5.32,5.03
10 Apr 2024,5.33,5.33,5.33,5.33,5.04
9 Apr 2024,5.36,5.36,5.36,5.36,5.07
8 Apr 2024,5.35,5.35,5.35,5.35,5.06
5 Apr 2024,5.35,5.35,5.35,5.35,5.06
4 Apr 2024,5.36,5.36,5.36,5.36,5.07
3 Apr 2024,5.36,5.36,5.36,5.36,5.07
2 Apr 2024,5.35,5.35,5.35,5.35,5.06
1 Apr 2024,5.37,5.37,5.37,5.37,5.07
28 Mar 2024,5.38,5.38,5.38,5.38,5.08
27 Mar 2024,5.38,5.38,5.38,5.38,5.06
26 Mar 2024,5.38,5.38,5.38,5.38,5.06
25 Mar 2024,5.38,5.38,5.38,5.38,5.06
22 Mar 2024,5.39,5.39,5.39,5.39,5.07
21 Mar 2024,5.38,5.38,5.38,5.38,5.06
20 Mar 2024,5.38,5.38,5.38,5.38,5.06
19 Mar 2024,5.37,5.37,5.37,5.37,5.05
18 Mar 2024,5.36,5.36,5.36,5.36,5.04
15 Mar 2024,5.36,5.36,5.36,5.36,5.04
14 Mar 2024,5.37,5.37,5.37,5.37,5.05
13 Mar 2024,5.38,5.38,5.38,5.38,5.06
12 Mar 2024,5.38,5.38,5.38,5.38,5.06
11 Mar 2024,5.38,5.38,5.38,5.38,5.06
8 Mar 2024,5.39,5.39,5.39,5.39,5.07
7 Mar 2024,5.38,5.38,5.38,5.38,5.06
6 Mar 2024,5.38,5.38,5.38,5.38,5.06
5 Mar 2024,5.37,5.37,5.37,5.37,5.05
4 Mar 2024,5.37,5.37,5.37,5.37,5.05
1 Mar 2024,5.37,5.37,5.37,5.37,5.05
29 Feb 2024,5.36,5.36,5.36,5.36,5.04
28 Feb 2024,5.36,5.36,5.36,5.36,5.01
27 Feb 2024,5.36,5.36,5.36,5.36,5.01
26 Feb 2024,5.37,5.37,5.37,5.37,5.02
23 Feb 2024,5.37,5.37,5.37,5.37,5.02
22 Feb 2024,5.37,5.37,5.37,5.37,5.02
21 Feb 2024,5.35,5.35,5.35,5.35,5.01
20 Feb 2024,5.36,5.36,5.36,5.36,5.01
16 Feb 2024,5.36,5.36,5.36,5.36,5.01
15 Feb 2024,5.37,5.37,5.37,5.37,5.02
14 Feb 2024,5.36,5.36,5.36,5.36,5.01
13 Feb 2024,5.35,5.35,5.35,5.35,5.01
12 Feb 2024,5.38,5.38,5.38,5.38,5.03
9 Feb 2024,5.38,5.38,5.38,5.38,5.03
8 Feb 2024,5.38,5.38,5.38,5.38,5.03
7 Feb 2024,5.38,5.38,5.38,5.38,5.03
6 Feb 2024,5.37,5.37,5.37,5.37,5.02
5 Feb 2024,5.37,5.37,5.37,5.37,5.02
2 Feb 2024,5.39,5.39,5.39,5.39,5.04
1 Feb 2024,5.40,5.40,5.40,5.40,5.05
31 Jan 2024,5.38,5.38,5.38,5.38,5.03
30 Jan 2024,5.39,5.39,5.39,5.39,5.02
29 Jan 2024,5.39,5.39,5.39,5.39,5.02
26 Jan 2024,5.39,5.39,5.39,5.39,5.02
25 Jan 2024,5.38,5.38,5.38,5.38,5.01
24 Jan 2024,5.37,5.37,5.37,5.37,5.00
23 Jan 2024,5.37,5.37,5.37,5.37,5.00
22 Jan 2024,5.37,5.37,5.37,5.37,5.00
19 Jan 2024,5.36,5.36,5.36,5.36,4.99
18 Jan 2024,5.36,5.36,5.36,5.36,4.99
17 Jan 2024,5.36,5.36,5.36,5.36,4.99
16 Jan 2024,5.38,5.38,5.38,5.38,5.01
12 Jan 2024,5.40,5.40,5.40,5.40,5.03
11 Jan 2024,5.39,5.39,5.39,5.39,5.02
10 Jan 2024,5.38,5.38,5.38,5.38,5.01
9 Jan 2024,5.37,5.37,5.37,5.37,5.00
8 Jan 2024,5.37,5.37,5.37,5.37,5.00
5 Jan 2024,5.35,5.35,5.35,5.35,4.98
4 Jan 2024,5.36,5.36,5.36,5.36,4.99
3 Jan 2024,5.37,5.37,5.37,5.37,5.00
2 Jan 2024,5.39,5.39,5.39,5.39,5.02
29 Dec 2023,5.42,5.42,5.42,5.42,5.05
28 Dec 2023,5.42,5.42,5.42,5.42,5.02
27 Dec 2023,5.42,5.42,5.42,5.42,5.02
26 Dec 2023,5.41,5.41,5.41,5.41,5.01
22 Dec 2023,5.41,5.41,5.41,5.41,5.01
21 Dec 2023,5.40,5.40,5.40,5.40,5.00
20 Dec 2023,5.40,5.40,5.40,5.40,5.00
19 Dec 2023,5.39,5.39,5.39,5.39,4.99
18 Dec 2023,5.38,5.38,5.38,5.38,4.98
15 Dec 2023,5.38,5.38,5.38,5.38,4.98
14 Dec 2023,5.39,5.39,5.39,5.39,4.99
13 Dec 2023,5.33,5.33,5.33,5.33,4.94
12 Dec 2023,5.29,5.29,5.29,5.29,4.90
11 Dec 2023,5.29,5.29,5.29,5.29,4.90
8 Dec 2023,5.29,5.29,5.29,5.29,4.90
7 Dec 2023,5.30,5.30,5.30,5.30,4.91
6 Dec 2023,5.30,5.30,5.30,5.30,4.91
5 Dec 2023,5.30,5.30,5.30,5.30,4.91
4 Dec 2023,5.29,5.29,5.29,5.29,4.90
1 Dec 2023,5.29,5.29,5.29,5.29,4.90
30 Nov 2023,5.27,5.27,5.27,5.27,4.88
29 Nov 2023,5.27,5.27,5.27,5.27,4.86
28 Nov 2023,5.24,5.24,5.24,5.24,4.83
27 Nov 2023,5.23,5.23,5.23,5.23,4.82
24 Nov 2023,5.22,5.22,5.22,5.22,4.81
22 Nov 2023,5.23,5.23,5.23,5.23,4.82
21 Nov 2023,5.22,5.22,5.22,5.22,4.81
20 Nov 2023,5.22,5.22,5.22,5.22,4.81
17 Nov 2023,5.21,5.21,5.21,5.21,4.80
16 Nov 2023,5.20,5.20,5.20,5.20,4.79
15 Nov 2023,5.20,5.20,5.20,5.20,4.79
14 Nov 2023,5.21,5.21,5.21,5.21,4.80
13 Nov 2023,5.16,5.16,5.16,5.16,4.76
10 Nov 2023,5.16,5.16,5.16,5.16,4.76
9 Nov 2023,5.16,5.16,5.16,5.16,4.76
8 Nov 2023,5.18,5.18,5.18,5.18,4.77
7 Nov 2023,5.17,5.17,5.17,5.17,4.77
6 Nov 2023,5.18,5.18,5.18,5.18,4.77
3 Nov 2023,5.19,5.19,5.19,5.19,4.78
2 Nov 2023,5.15,5.15,5.15,5.15,4.75
1 Nov 2023,5.09,5.09,5.09,5.09,4.69
31 Oct 2023,5.07,5.07,5.07,5.07,4.67
30 Oct 2023,5.05,5.05,5.05,5.05,4.63
27 Oct 2023,5.05,5.05,5.05,5.05,4.63
26 Oct 2023,5.04,5.04,5.04,5.04,4.62
25 Oct 2023,5.05,5.05,5.05,5.05,4.63
24 Oct 2023,5.05,5.05,5.05,5.05,4.63
23 Oct 2023,5.03,5.03,5.03,5.03,4.61
20 Oct 2023,5.03,5.03,5.03,5.03,4.61
19 Oct 2023,5.03,5.03,5.03,5.03,4.61
18 Oct 2023,5.04,5.04,5.04,5.04,4.62
17 Oct 2023,5.06,5.06,5.06,5.06,4.64
16 Oct 2023,5.08,5.08,5.08,5.08,4.66
13 Oct 2023,5.09,5.09,5.09,5.09,4.67
12 Oct 2023,5.09,5.09,5.09,5.09,4.67
11 Oct 2023,5.11,5.11,5.11,5.11,4.68
10 Oct 2023,5.11,5.11,5.11,5.11,4.68
9 Oct 2023,5.07,5.07,5.07,5.07,4.65
6 Oct 2023,5.07,5.07,5.07,5.07,4.65
5 Oct 2023,5.07,5.07,5.07,5.07,4.65
4 Oct 2023,5.07,5.07,5.07,5.07,4.65
3 Oct 2023,5.06,5.06,5.06,5.06,4.64
2 Oct 2023,5.10,5.10,5.10,5.10,4.68
29 Sept 2023,5.13,5.13,5.13,5.13,4.70
28 Sept 2023,5.13,5.13,5.13,5.13,4.68
27 Sept 2023,5.12,5.12,5.12,5.12,4.67
26 Sept 2023,5.13,5.13,5.13,5.13,4.68
25 Sept 2023,5.15,5.15,5.15,5.15,4.70
22 Sept 2023,5.16,5.16,5.16,5.16,4.71
21 Sept 2023,5.19,5.19,5.19,5.19,4.73
20 Sept 2023,5.19,5.19,5.19,5.19,4.73
19 Sept 2023,5.18,5.18,5.18,5.18,4.72
18 Sept 2023,5.19,5.19,5.19,5.19,4.73
15 Sept 2023,5.20,5.20,5.20,5.20,4.74
14 Sept 2023,5.21,5.21,5.21,5.21,4.75
13 Sept 2023,5.20,5.20,5.20,5.20,4.74
12 Sept 2023,5.20,5.20,5.20,5.20,4.74
11 Sept 2023,5.20,5.20,5.20,5.20,4.74
8 Sept 2023,5.20,5.20,5.20,5.20,4.74
7 Sept 2023,5.20,5.20,5.20,5.20,4.74
6 Sept 2023,5.20,5.20,5.20,5.20,4.74
5 Sept 2023,5.21,5.21,5.21,5.21,4.75
1 Sept 2023,5.23,5.23,5.23,5.23,4.77
31 Aug 2023,5.23,5.23,5.23,5.23,4.77
30 Aug 2023,5.23,5.23,5.23,5.23,4.75
29 Aug 2023,5.22,5.22,5.22,5.22,4.74
28 Aug 2023,5.20,5.20,5.20,5.20,4.72
25 Aug 2023,5.19,5.19,5.19,5.19,4.71
24 Aug 2023,5.18,5.18,5.18,5.18,4.70
23 Aug 2023,5.19,5.19,5.19,5.19,4.71
22 Aug 2023,5.17,5.17,5.17,5.17,4.69
21 Aug 2023,5.16,5.16,5.16,5.16,4.68
18 Aug 2023,5.17,5.17,5.17,5.17,4.69
17 Aug 2023,5.17,5.17,5.17,5.17,4.69
16 Aug 2023,5.19,5.19,5.19,5.19,4.71
15 Aug 2023,5.20,5.20,5.20,5.20,4.72
14 Aug 2023,5.21,5.21,5.21,5.21,4.73
11 Aug 2023,5.22,5.22,5.22,5.22,4.74
10 Aug 2023,5.23,5.23,5.23,5.23,4.75
9 Aug 2023,5.22,5.22,5.22,5.22,4.74
8 Aug 2023,5.22,5.22,5.22,5.22,4.74
7 Aug 2023,5.22,5.22,5.22,5.22,4.74
4 Aug 2023,5.22,5.22,5.22,5.22,4.74
3 Aug 2023,5.20,5.20,5.20,5.20,4.72
2 Aug 2023,5.21,5.21,5.21,5.21,4.73
1 Aug 2023,5.23,5.23,5.23,5.23,4.75
31 Jul 2023,5.25,5.25,5.25,5.25,4.76
28 Jul 2023,5.24,5.24,5.24,5.24,4.73
27 Jul 2023,5.23,5.23,5.23,5.23,4.72
26 Jul 2023,5.24,5.24,5.24,5.24,4.73
25 Jul 2023,5.24,5.24,5.24,5.24,4.73
24 Jul 2023,5.25,5.25,5.25,5.25,4.74
21 Jul 2023,5.25,5.25,5.25,5.25,4.74
20 Jul 2023,5.24,5.24,5.24,5.24,4.73
19 Jul 2023,5.26,5.26,5.26,5.26,4.75
18 Jul 2023,5.25,5.25,5.25,5.25,4.74
17 Jul 2023,5.24,5.24,5.24,5.24,4.73
14 Jul 2023,5.25,5.25,5.25,5.25,4.74
13 Jul 2023,5.26,5.26,5.26,5.26,4.75
12 Jul 2023,5.24,5.24,5.24,5.24,4.73
11 Jul 2023,5.20,5.20,5.20,5.20,4.70
10 Jul 2023,5.18,5.18,5.18,5.18,4.68
7 Jul 2023,5.17,5.17,5.17,5.17,4.67
6 Jul 2023,5.17,5.17,5.17,5.17,4.67
5 Jul 2023,5.20,5.20,5.20,5.20,4.70
3 Jul 2023,5.22,5.22,5.22,5.22,4.71
30 Jun 2023,5.22,5.22,5.22,5.22,4.71
29 Jun 2023,5.20,5.20,5.20,5.20,4.67
28 Jun 2023,5.21,5.21,5.21,5.21,4.68
27 Jun 2023,5.20,5.20,5.20,5.20,4.67
26 Jun 2023,5.19,5.19,5.19,5.19,4.66
23 Jun 2023,5.18,5.18,5.18,5.18,4.65
22 Jun 2023,5.20,5.20,5.20,5.20,4.67
21 Jun 2023,5.21,5.21,5.21,5.21,4.68
20 Jun 2023,5.22,5.22,5.22,5.22,4.69
16 Jun 2023,5.23,5.23,5.23,5.23,4.70
15 Jun 2023,5.23,5.23,5.23,5.23,4.70
14 Jun 2023,5.22,5.22,5.22,5.22,4.69
13 Jun 2023,5.22,5.22,5.22,5.22,4.69
12 Jun 2023,5.22,5.22,5.22,5.22,4.69
9 Jun 2023,5.22,5.22,5.22,5.22,4.69
8 Jun 2023,5.22,5.22,5.22,5.22,4.69
7 Jun 2023,5.21,5.21,5.21,5.21,4.68
6 Jun 2023,5.22,5.22,5.22,5.22,4.69
5 Jun 2023,5.22,5.22,5.22,5.22,4.69
